LS,MFL,MSR,WAMP,Class
2.822101535509579e-06,-3.374136517755631,0.0012299901629072116,0,0
3.0365103583474438e-06,-3.3539126755084223,0.0012806527954139222,0,0
3.05558701178276e-06,-3.37368670468393,0.0012871914616020019,0,0
3.0770950034010065e-06,-3.37368670468393,0.0013007727582758687,0,0
3.129539298052763e-06,-3.354342457316781,0.0013025932449882232,0,0
3.0183248288615297e-06,-3.3855359774997247,0.0012872502392407166,0,0
2.991712127212148e-06,-3.3643466784297864,0.001282859565241085,0,0
3.0857422061692642e-06,-3.3412131015888873,0.0013048341457444423,0,0
3.060163648362396e-06,-3.326851559769053,0.0012942882628544275,0,0
2.993538381231907e-06,-3.334588843791997,0.0012741407894498538,0,0
3.1027945780405083e-06,-3.3137322849502633,0.0013253440852464646,0,0
2.9157465609083126e-06,-3.3292800534142137,0.0012719198428320054,0,0
3.0263009382851756e-06,-3.324035374474103,0.0012952093996427291,0,0
3.1235544656024686e-06,-3.3055853876160035,0.0013215868189292996,0,0
3.1525104931928666e-06,-3.3086709741792806,0.0013399865912723293,0,0
3.099560128150091e-06,-3.3145162102207006,0.0013317868874487405,0,0
3.3028354023855684e-06,-3.3137322849502633,0.0013878600319057071,0,0
3.5606452620183115e-06,-3.317666138675933,0.001443162388319282,0,0
3.688857095429593e-06,-3.323634548897055,0.0014792842640304206,0,0
3.689748219378994e-06,-3.328469045742672,0.0014791044036535257,0,0
3.785340515630122e-06,-3.320441192730705,0.0015026397782800926,0,0
3.948988277942874e-06,-3.3086709741792806,0.0015652654778580324,0,0
3.7786625867747378e-06,-3.3055853876160035,0.001497832318745227,0,0
3.8116011683118386e-06,-3.302140107020323,0.0015017404576093626,0,0
3.781379964743897e-06,-3.3125590438533847,0.0015027014681491403,0,0
3.7052713785469474e-06,-3.318457203524712,0.00147207610905843,0,0
3.6662929569083524e-06,-3.2960818468712603,0.001460943238190799,0,0
3.3930039442286153e-06,-3.305585387616004,0.001393061418100786,0,0
3.3179295018741814e-06,-3.302140107020323,0.001376487626435034,0,0
3.4160961562013544e-06,-3.283481976480732,0.0014222931110367343,0,0
3.322055075713998e-06,-3.2960818468712603,0.001401494953786074,0,0
3.0593275320641932e-06,-3.3156947577062432,0.00133924894537638,0,0
3.022549416473503e-06,-3.3349999129016297,0.001340370918681417,0,0
2.9865964156507743e-06,-3.3416304918006428,0.0013375020799515991,0,0
3.1650962437868695e-06,-3.343723481306487,0.0013646872029965678,0,0
3.08719440816088e-06,-3.3441432923414998,0.0013546082429024588,0,0
3.2363091490272345e-06,-3.3487881973872633,0.0013574011658517118,0,0
3.3670623359238446e-06,-3.3086709741792806,0.00138523366358077,0,0
3.364399965605882e-06,-3.318457203524712,0.0013887178398558264,0,0
3.382123430821737e-06,-3.3129497721585555,0.0013725311681905212,0,0
3.407492959554054e-06,-3.3125590438533847,0.0013874870113182673,0,0
3.6247181741332326e-06,-3.3032854997244234,0.0014575157309207045,0,0
3.6021760386724727e-06,-3.293084116370975,0.0014405243573057634,0,0
3.459387177693835e-06,-3.314908704130744,0.0013911473976463528,0,0
3.301658238649941e-06,-3.3109996364978636,0.0013546097785833093,0,0
3.419374612212728e-06,-3.307897519866381,0.0013887438370180053,0,0
3.124313571188995e-06,-3.342885074710382,0.0013493891600628136,0,0
3.0106457607543485e-06,-3.372340054048658,0.001317856687091729,0,0
2.8284714215182564e-06,-3.3813976186721306,0.0012547409414954103,0,0
2.733396197188388e-06,-3.374136517755631,0.0012517596253144169,0,0
2.8278333327643655e-06,-3.352625876102106,0.001259573343609363,0,0
2.6918654205342266e-06,-3.342466477586984,0.0011970850209983206,0,0
2.788964926428167e-06,-3.347093387502145,0.001218565191171536,0,0
2.839990023679027e-06,-3.3395475406523505,0.0012359485785123083,0,0
2.7924634130443313e-06,-3.3276595497358863,0.0012358829917452879,0,0
2.7570714902638194e-06,-3.3121686667647148,0.0012329576662712203,0,0
2.9335140322451246e-06,-3.274087553165092,0.0012657764877220252,0,0
2.9226445203684855e-06,-3.2860463545541867,0.001291526274068154,0,0
3.009743635274708e-06,-3.285679086471493,0.0013138487003793381,0,0
3.0868533607234545e-06,-3.299100413198156,0.001305277080622316,0,0
3.0229564730923635e-06,-3.3040507765425358,0.001309482235770625,0,0
3.031746695753734e-06,-3.309833744571073,0.001334745108581625,0,0
2.987531545721133e-06,-3.312949772158556,0.0013305861942554315,0,0
3.211236661611386e-06,-3.3067399150533165,0.001378668310119105,0,0
3.230148292093109e-06,-3.3082840748379656,0.001384453316458091,0,0
3.2810743755718126e-06,-3.3125590438533847,0.0013875093294021005,0,0
3.106238057005476e-06,-3.363906886511795,0.001350065513549669,0,0
2.952733705573554e-06,-3.373237357016422,0.001264073782493005,0,0
2.966309593889112e-06,-3.3714446011914188,0.0012755216111748915,0,0
2.861806058143981e-06,-3.3782059388233234,0.0012759766076143662,0,0
2.7397880862575452e-06,-3.3832320225901604,0.0012464769617779466,0,0
2.6376058733929504e-06,-3.391115854880561,0.0012134078273638967,0,0
2.719413252253968e-06,-3.3859982388333125,0.0012301339882192664,0,0
2.4818682113224073e-06,-3.406355821437298,0.001202788253020861,0,0
2.6328532123294805e-06,-3.407812372210877,0.001216281435243788,0,0
2.6093539437378803e-06,-3.395348319713312,0.0012129849831928245,0,0
2.806886419188333e-06,-3.3643466784297864,0.0012480510929670221,0,0
3.0104257301495585e-06,-3.328469045742672,0.001335925290058875,0,0
3.0698119903824484e-06,-3.306739915053317,0.001347798849864501,0,0
3.190938838319485e-06,-3.304433921236026,0.001359111665650464,0,0
3.2411608238628605e-06,-3.3055853876160035,0.001358756987002246,0,0
3.3228251828307647e-06,-3.300997727189594,0.0013851426252956198,0,0
3.7415764283373376e-06,-3.2908493199375832,0.0014642399358485074,0,0
3.745261940967575e-06,-3.2831168697068924,0.0014470239179944376,0,0
3.621175681396111e-06,-3.291965280676428,0.0014372389284370009,0,0
3.5841445306099104e-06,-3.2938316113608495,0.0014468036332775365,0,0
3.4884422190563873e-06,-3.307511308652042,0.0014440059312235637,0,0
3.2971916173726987e-06,-3.337474532029485,0.001391898612150415,0,0
3.2741434115209203e-06,-3.3547726648625127,0.0013679584217205596,0,0
3.4443040797354646e-06,-3.3313142233246666,0.0013963720989205353,0,0
3.4344687117013395e-06,-3.3466707164401663,0.0014141224213161452,0,0
3.479883028530049e-06,-3.3341781634002565,0.0014304061488529098,0,0
2.9499943245439153e-06,-3.3276595497358867,0.001288567474547131,0,0
2.8866475134248005e-06,-3.3341781634002565,0.0012740003137391544,0,0
2.738819951596468e-06,-3.349638089012513,0.0012182935321730292,0,0
2.690347209361174e-06,-3.37368670468393,0.001188024645451216,0,0
2.630894939946846e-06,-3.3832320225901604,0.0011792040581942503,0,0
2.6888950073695575e-06,-3.3674377554069284,0.0012008460537279993,0,0
2.795576846102113e-06,-3.338717149420581,0.0011865138090349588,0,0
2.5987594701172304e-06,-3.362590176614148,0.001144234448910593,0,0
2.769008150573691e-06,-3.3428850747103827,0.0011765838176845743,0,0
2.6664408841507126e-06,-3.3513428781766788,0.0011602253634458558,0,0
2.8477571040281227e-06,-3.350489647092997,0.0012160613080337732,0,0
3.484371652867769e-06,-3.312949772158556,0.0013226491074202753,0,0
3.6857656654322907e-06,-3.2816595043060732,0.0013910464426165397,0,0
3.843098549387563e-06,-3.2627973776208807,0.0014453436424420338,0,0
3.806100403192081e-06,-3.2610595022250126,0.001438661997623308,0,0
3.920813358999481e-06,-3.2607127601052732,0.0014685307883202875,0,0
3.901241636703388e-06,-3.271237374063138,0.0014745725765512795,0,0
4.130513526894833e-06,-3.2457238550153433,0.001520811608179357,0,0
